               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.025481,            0.015101,          0.00016821,             0.61192,             0.61741,             0.58325,             0.27641,            0.044662,            0.020825,          0.00026026,            0.007888,            0.007888,            0.007888
                  66,            0.025941,            0.015035,          0.00015058,             0.69031,             0.59078,             0.59224,             0.29888,            0.044079,            0.020964,          0.00026427,            0.007855,            0.007855,            0.007855
                  67,             0.02602,            0.015098,          0.00015912,             0.70657,               0.579,             0.58662,             0.29112,            0.044897,            0.020942,          0.00034054,            0.007822,            0.007822,            0.007822
                  68,            0.025704,            0.014885,          0.00015283,             0.66481,             0.59171,             0.58733,             0.28349,            0.044701,            0.021211,          0.00037199,            0.007789,            0.007789,            0.007789
                  69,            0.026248,            0.015456,          0.00017113,              0.6673,             0.56428,             0.55268,             0.26397,            0.044931,            0.021301,          0.00033111,            0.007756,            0.007756,            0.007756
                  70,            0.024784,            0.014359,          0.00016852,             0.62926,             0.60157,              0.5595,             0.27271,            0.044476,            0.021231,          0.00026012,            0.007723,            0.007723,            0.007723
                  71,            0.025274,            0.015092,          0.00014785,             0.65799,             0.60606,             0.58025,             0.28318,            0.044084,            0.021348,          0.00027396,             0.00769,             0.00769,             0.00769
                  72,            0.025067,            0.014773,          0.00014313,             0.66083,             0.59848,             0.57596,             0.27869,            0.044739,            0.021159,          0.00041079,            0.007657,            0.007657,            0.007657
                  73,            0.024728,            0.014654,          0.00015649,             0.66863,             0.59206,             0.58294,             0.28991,            0.044306,            0.022231,          0.00033515,            0.007624,            0.007624,            0.007624
                  74,            0.024617,            0.014148,          0.00015357,             0.65844,             0.59863,             0.57951,             0.29477,            0.043741,            0.021536,          0.00028594,            0.007591,            0.007591,            0.007591
                  75,            0.024903,            0.014607,          0.00013914,             0.63181,             0.61138,             0.56711,              0.2782,            0.044598,            0.021898,          0.00037071,            0.007558,            0.007558,            0.007558
                  76,            0.024314,            0.015011,            0.000165,             0.69371,             0.57409,             0.57729,             0.28675,            0.044726,            0.021364,          0.00034773,            0.007525,            0.007525,            0.007525
                  77,            0.024299,            0.014179,          0.00014278,             0.64469,             0.58292,             0.56808,             0.28175,            0.044324,            0.022603,           0.0003055,            0.007492,            0.007492,            0.007492
                  78,            0.024371,            0.014639,          0.00013811,             0.66221,             0.58685,             0.57435,             0.28952,            0.044765,             0.02145,          0.00027399,            0.007459,            0.007459,            0.007459
                  79,            0.023748,            0.014225,          0.00014022,             0.64333,             0.60183,             0.57686,             0.29136,            0.044087,            0.021842,          0.00028972,            0.007426,            0.007426,            0.007426
                  80,            0.023751,            0.014243,          0.00013421,             0.64886,             0.59568,             0.58108,             0.28828,            0.043922,            0.021723,          0.00038455,            0.007393,            0.007393,            0.007393
                  81,             0.02397,            0.014165,          0.00015303,             0.64669,             0.59176,             0.58567,             0.28574,            0.043982,            0.021619,          0.00034976,             0.00736,             0.00736,             0.00736
                  82,            0.024113,            0.014587,          0.00014254,             0.64381,             0.61335,             0.57883,             0.28731,            0.044351,            0.021667,           0.0002848,            0.007327,            0.007327,            0.007327
